-2.15,-7.51,5.98,-1.84,-7.35,5.67,-1.38,-7.20,5.98,-1.84,-7.05,5.98,-2.15,-7.05,6.13,-2.30,-6.74,6.44,-1.84,-6.74,6.59,-3.68,-6.13,5.06,-2.15,-7.20,6.13,-2.30,-7.81,5.98,Inattentive
8.27,2.76,5.21,8.12,2.60,4.90,8.27,2.91,4.75,8.27,2.91,4.90,7.97,2.91,4.60,8.27,2.60,4.90,8.27,2.76,4.75,8.12,2.91,4.90,8.27,2.76,4.60,8.27,2.60,4.75,Inattentive
8.12,2.91,4.90,8.12,2.76,4.75,8.12,2.76,4.90,8.12,2.91,4.90,8.27,2.91,4.90,8.27,2.76,4.75,8.43,2.15,4.14,8.12,2.91,5.21,8.43,2.91,4.75,7.97,3.06,4.90,Inattentive
8.43,2.91,4.75,7.97,2.76,4.75,8.43,3.06,4.90,8.12,2.60,4.44,8.27,3.06,4.75,8.12,2.91,4.90,8.12,2.91,4.60,7.97,2.76,4.60,7.97,2.15,4.14,8.12,2.91,4.60,Inattentive
8.43,2.91,4.90,7.97,2.91,4.90,8.12,2.76,5.06,8.12,2.60,4.90,7.97,2.91,4.90,8.12,2.76,4.75,8.12,2.76,4.75,8.27,2.91,4.90,8.12,2.91,5.06,8.27,2.91,4.90,Inattentive
7.97,2.76,4.75,8.27,3.06,4.75,8.12,2.76,4.75,8.12,2.76,5.06,7.97,3.06,4.75,8.12,3.06,4.90,7.97,3.06,4.90,8.27,2.91,4.90,7.97,3.06,5.06,8.12,2.76,4.29,Inattentive
-3.68,-6.90,5.06,-3.98,-7.05,5.06,-4.14,-7.20,4.90,-3.98,-6.74,5.06,-3.98,-7.20,4.90,-3.83,-6.74,5.06,-4.14,-7.20,4.75,-3.83,-6.90,4.90,-3.98,-7.51,5.21,-4.14,-7.20,4.75,Inattentive
-3.52,-7.05,4.90,-4.14,-6.90,4.90,-3.98,-7.05,4.90,-3.83,-6.74,4.90,-3.98,-6.90,5.21,-3.68,-6.90,5.21,-3.22,-7.66,5.21,-3.83,-7.05,5.21,-3.98,-7.35,5.06,-3.98,-6.59,5.06,Inattentive
-3.83,-6.90,5.06,-3.68,-6.90,5.21,-3.68,-7.05,5.21,-3.83,-6.59,5.06,-3.52,-6.59,5.36,-3.37,-6.74,5.67,-3.52,-6.74,5.36,-3.68,-6.90,5.67,-3.37,-6.74,5.98,-3.68,-7.05,5.21,Inattentive
2.15,-9.50,-1.99,3.06,-7.66,-0.92,5.06,-7.97,-0.61,3.37,-8.73,-1.99,3.83,-8.73,-1.99,4.75,-9.04,-1.84,3.83,-8.43,-2.15,4.14,-8.73,-1.69,4.44,-8.89,-1.53,4.14,-8.43,-1.69,Inattentive
2.15,-5.98,-7.35,2.45,-5.67,-7.66,2.76,-5.36,-7.20,3.52,-6.13,-7.20,3.22,-5.52,-7.20,3.37,-5.67,-7.35,3.37,-5.67,-7.66,3.52,-6.28,-7.05,3.22,-6.13,-7.51,3.22,-5.98,-7.05,Inattentive
3.22,-5.67,-6.90,3.22,-5.67,-6.90,3.37,-5.98,-7.05,3.22,-5.52,-7.20,3.37,-5.82,-7.05,3.37,-6.13,-7.20,3.06,-5.82,-7.05,3.22,-6.13,-6.90,3.37,-6.13,-6.59,3.52,-5.67,-6.59,Inattentive
3.37,-6.13,-7.05,3.06,-6.13,-6.74,3.22,-5.98,-7.05,3.22,-5.98,-6.59,3.37,-5.82,-7.05,3.22,-5.98,-6.90,3.06,-4.90,-9.19,3.68,-6.13,-6.28,3.22,-5.82,-6.74,3.22,-6.28,-6.74,Inattentive
0.15,-9.65,1.07,0.31,-9.65,0.77,0.77,-8.89,1.53,0.92,-8.89,1.23,0.46,-9.19,1.23,0.46,-9.35,1.07,0.00,-9.50,1.53,0.46,-9.81,0.92,0.00,-9.19,1.99,0.31,-9.04,1.38,Inattentive
0.46,-9.19,1.23,0.46,-9.35,1.38,0.46,-9.35,1.23,0.46,-9.50,1.23,0.46,-9.35,1.23,0.31,-9.35,1.38,0.61,-9.35,1.38,0.61,-9.19,1.53,0.31,-9.35,1.53,0.46,-9.19,1.07,Inattentive
